233	Lunes d'encre	\N
235	Liverpool English Texts and Studies	\N
236	Wells Unleashed Series	\N
237	Twin Spins	\N
238	Children's Literature Association Centennial Studies	\N
239	Studies in Speculative Fiction	\N
240	Continuum Studies in Literary Genre	\N
243	Future Classics	\N
247	Penguin Great Books of the 20th Century	\N
249	Knaur Science Fiction & Fantasy	\N
250	Heyne Sachbuch	\N
251	Presses Pocket - Science Fiction	245159
253	Bibliothek der Science Fiction Literatur	\N
254	La Dentelle du Cygne	\N
256	Space Opera Collection	\N
257	Moewig Science Fiction	\N
259	Starmont Facsimile Fiction	\N
261	Forrest J Ackerman Presents	\N
264	Early Classics of Science Fiction	\N
265	Bison Frontiers of Imagination	\N
266	Popular Culture Studies	\N
269	Wildside Double	\N
270	Modern Literature	\N
271	The Fitzroy Edition of Jules Verne	241031
272	Utopia Classics	\N
273	Junior Deluxe Editions	\N
274	Illustrated Junior Library	\N
275	Companion Library	\N
276	Best Seller Classics	\N
277	PS Showcase	\N
278	Oxford World's Classics	\N
279	Classic Home Bookshelf	\N
280	Voyages extraordinaires	\N
284	Bastei Lübbe Science Fiction	\N
285	The American Heroes Collection	\N
286	Bruna SF	\N
287	Fawcett Gold Medal Science Fiction	\N
288	Newgothic	\N
291	"Duel" Novella	\N
292	Corgi SF Collector's Library	265179
294	I Can Read Book	\N
296	Seaside Library	\N
297	An Avernus Original	\N
298	Paranoia	\N
316	Bastei Lübbe Allgemeine Reihe	\N
317	Barnes & Noble Library of Essential Reading	\N
321	Dover Electronic Clip Art	\N
322	Forbidden Files	\N
323	Doubleday Book for Young Readers	\N
324	Contributions to the Study of Popular Culture	\N
325	ALA Readers' Advisory Series	336910
327	Recognitions	\N
328	The Xanadu Library	\N
330	rororo sachbuch	\N
332	Calico Illustrated Classics	\N
333	Collins Classics	\N
335	Platt & Munk Great Writers Collection	\N
336	Popular Culture and Philosophy	\N
337	The Literary Heritage Collection	\N
338	Oxford Modern Languages and Literature Monographs	\N
341	Treasury of World Masterpieces	\N
343	Nightmares	396411
345	Cemetery Dance Signature Series	\N
346	I.O. Evans Studies in the Philosophy and Criticism of Literature	389993
347	Oxford Library of French Classics	\N
348	Clipper Studies in the Theatre	\N
349	Borgo Literary Guides	\N
351	Great Classic Library	\N
352	L'Herne	\N
353	Relato Corto Aguilar	\N
354	Canongate Classics	\N
356	The Biographical Edition of the Works of Robert Louis Stevenson	\N
357	Verso	\N
360	Treetops classics	\N
362	Rare Works of Imaginative Fiction	\N
363	Obras Selectas	\N
364	Theories of Contemporary Culture	\N
366	The Novels and Tales of Robert Louis Stevenson	\N
367	Indigenous Americas	\N
368	Presses Pocket - Classiques	\N
369	Penguin Mini Modern Classics	\N
370	Rowohlt Paperback	\N
371	The Legend of Drizzt Collector's Edition	\N
374	Classics of Fantastic Literature	\N
377	Ravenous Romance	\N
379	The Borgo Reference Library	\N
381	Supernatural and Occult Fiction	\N
384	Wildside Mystery Double	\N
391	Hear It Read It	\N
392	Story Chest	\N
393	A Pleasure Reader	\N
394	A Companion Book	\N
395	Carousel Science Fantasy	\N
396	Carousel Science Fiction	\N
397	Lost Race and Adult Fantasy Fiction	\N
399	Science Fiction [Arno Press]	\N
401	A Corwin Book	\N
403	&#1047;&#1072;&#1088;&#1091;&#1073;&#1077;&#1078;&#1085;&#1072;&#1103; &#1092;&#1072;&#1085;&#1090;&#1072;&#1089;&#1090;&#1080;&#1082;&#1072;	512457
404	Utopia Grossband	373942
405	Terra Extra	\N
409	Terra Taschenbuch	315392
410	Terra Sonderband	326570
411	Science Fiction Special	\N
413	NYRB Classics	\N
415	Borgo Political Scenarios	\N
416	Ashgate Studies in Architecture	\N
417	Classic Fiction	\N
418	Nightmares on Tape	\N
419	Ailleurs et demain - Classiques	\N
420	BFI Film Classics	\N
422	Kimani Tru	\N
424	Evergreen	\N
425	Bizarre Series	\N
426	Baen Free Library	\N
427	Badboy	\N
428	[SP] Global Poetry Series	\N
429	OPTA - Anti-mondes	247176
431	Silhouette Desire	\N
432	Phantastische Bibliothek	\N
437	Read On	\N
439	DC Super Heroes	\N
440	OPTA - Nébula	\N
441	Barnes & Noble Classics	\N
442	Armchair Fiction Masters of Science Fiction	\N
443	Armchair Fiction Double Novel	\N
445	Armchair Fiction Science Fiction Classics	\N
446	Ash-Tree Press Occasional Booklet	\N
447	British Science Fiction Writers	\N
448	American Cultural Heritage	336911
450	Citadel Underground	\N
451	The Gotham Library of the New York University	\N
452	Ullstein Science Fiction	358519
453	rororo	\N
459	Etoile Double	248032
460	Understanding Contemporary British Literature	\N
461	Understanding Contemporary American Literature	\N
462	Wordcraft Speculative Writing Series	\N
463	Science Fiction für Kenner	\N
464	The Pawprint Adventures	\N
465	International Publications Series	\N
473	Zebra Debut	\N
474	Norton Critical Editions	\N
475	Wink & a Kiss	\N
476	Timeswept	\N
477	Heartspell	\N
478	Essays on Fantastic Literature	\N
479	Stokvis Studies in Historical Chronology and Thought	\N
480	Literary Conversations	\N
481	Borgo Cataloging Guides	\N
482	Borgo Bioviews	\N
484	Bibliographies and Indexes in the Performing Arts	\N
485	Everyman's Poetry	\N
487	Titres SF	250289
488	Meisterwerke der Phantastik	\N
489	Outspoken Authors	\N
490	Crime Classics	\N
491	New Authors Limited	\N
492	Folio SF	353623
493	Ace Fantasy Special	\N
494	Art Encounters	\N
495	Mystery Writers of America Presents	\N
497	Classic Library	\N
498	dtv premium	\N
499	Rauchs Weltraum-Bücher	\N
501	Vintage International	\N
503	Vintage Contemporaries	\N
504	Post-Contemporary Interventions	\N
505	Coleman's Library of Romance	\N
506	Gore	\N
507	The Zodiac Gothic Series	\N
509	NEL Horror	\N
510	The Acme Library	251138
514	Bloomsbury Good Reading Guides	\N
515	Kodansha English library	429433
516	Hale SF	\N
518	Thorndike Press Large Print Mystery	\N
524	Le Livre de Poche - Science Fiction	259496
525	The "Mystery" Library	\N
526	Routledge Studies in Twentieth-Century Literature	\N
527	Routledge Concise Histories of Literature	\N
528	Ravensburger Taschenbuch	\N
529	Ash-Tree Occult Detectives Library	\N
530	Bastei Lübbe Science Fiction Special	\N
531	Bastei Lübbe Science Fiction Bestseller	\N
532	Bastei Lübbe Science Fiction Action	\N
533	Heyne Allgemeine Reihe	\N
534	Utopia Zukunftsroman	\N
537	Culture of the Land	\N
538	LeapLit	\N
541	Bastei Lübbe Paperback	\N
546	Quirk Classics	\N
548	The Making of a Monster: Vampires & Werewolves	\N
550	Gothic Chapbooks	\N
551	Goldmanns Zukunftsromane	263455
554	The Modern European Library	\N
555	Super Nocturne	\N
559	Spectral	\N
560	Hesperus Modern Voices	\N
561	Hesperus Classics	\N
562	SUNY Series in Postmodern Culture	\N
565	Heirloom Books	\N
569	Mcfarland Literary Companions	\N
570	Meckler's Bibliographies on Science Fiction, Fantasy, and Horror	\N
571	Silhouette Romantic Suspense	\N
572	Oneworld Classics	\N
574	Relatos	\N
575	Victorian Flashbacks	\N
576	Comix	\N
579	NEL SF Master Series	328269
581	Thorndike Press Large Print Core	\N
584	Charming Classics	\N
585	Texas Pan American Series	\N
586	Shade Books	\N
587	Library of Classics	\N
588	Silhouette Special Edition	\N
589	Harlequin Nocturne	\N
591	Picas	\N
592	Adventure & Historical Series	\N
593	Zwarte Beertjes	\N
594	Sirius Books	\N
596	Tijgerpocket	\N
597	Stories Under the Bedclothes	\N
598	Le Livre de Poche	\N
599	Planet Stories	\N
600	Bone Chillers	350843
601	Smart Pop	\N
603	Goose Bumps Presents	\N
605	Phantasia Paperback Science Fiction	\N
606	Penguin Classics	\N
607	Penguin Twentieth Century Classics	\N
608	Penguin Student Edition	\N
609	Penguin Modern Classics	\N
610	Penguin Classic Science Fiction	\N
612	Penguin Young Readers	\N
613	Penguin Readers	\N
614	Newmarket Shooting Script Series	\N
615	PM Fiction	\N
616	Ariel Library Series	274060
617	Tauchnitz Collection of British and American Authors	\N
618	Del Rey Fantasy Adventure	\N
621	Cassell's Pocket Library	\N
622	Peapod Classics	\N
624	Fleshcreepers	\N
625	NESFA's Choice	516778
627	Alternatives	\N
628	Critical Companions to Popular Contemporary Writers	\N
629	Encrage - Travaux	\N
630	Small Beer Press Chapbook	\N
631	Ides et Autres	\N
633	A&A - Documents SF	\N
634	Halloween Chapbook	\N
635	Bragelonne - Essais	\N
636	Seghers - Clefs	\N
637	Beccon Publications Collector's Checklist	\N
640	The Tale of the Eternal Champion (Millennium)	\N
641	Robert Laffont - Essais	\N
642	Autrement - Mutations	\N
643	Children's Literature and Culture	\N
644	Routledge Research in Cultural and Media Studies	\N
645	Encrage - Portraits	\N
647	Futuristic Romance	\N
652	Qualitas Classics	\N
653	Encrage - Interface	\N
654	Orion	\N
656	KiWi	\N
657	Mash Ups	\N
658	Disney Chapter Books	\N
659	Contemporary Critical Perspectives	\N
660	Bordas - Les Compacts	\N
666	Hand-Bibliothek	\N
667	Goldmanns Weltraum Taschenbücher	\N
668	Goldmann Science Fiction	\N
674	PS Holiday Chapbooks	\N
675	Elements of Fiction Writing	\N
676	Dover Books on Literature and Drama	\N
677	The Collected Works of G. K. Chesterton	\N
678	Signet Regency Romance	\N
679	The Voyager Series	\N
680	Starmont Reader's Guide	\N
681	Courage Classics	\N
682	Foundation Studies in Science Fiction	\N
683	Encrage - Références	\N
684	SF Author Studies	\N
688	Faber Children's Classics	\N
691	Postmodern Studies	\N
692	&#1050;&#1086;&#1086;&#1088;&#1076;&#1080;&#1085;&#1072;&#1090;&#1099; &#1095;&#1091;&#1076;&#1077;&#1089;	\N
693	&#1041;&#1080;&#1073;&#1083;&#1080;&#1086;&#1090;&#1077;&#1082;&#1072; &#1087;&#1088;&#1080;&#1082;&#1083;&#1102;&#1095;&#1077;&#1085;&#1080;&#1081; &#1080; &#1085;&#1072;&#1091;&#1095;&#1085;&#1086;&#1081; &#1092;&#1072;&#1085;&#1090;&#1072;&#1089;&#1090;&#1080;&#1082;&#1080;	\N
694	Hodder Silver	\N
695	Five Star Science Fiction & Fantasy	\N
697	Biblioteka Alfa. Proza	\N
698	Genres et Discours	\N
699	Harlequin Intrigue	\N
700	Hard Case Crime Book	\N
702	Mammoth Read	\N
705	Epix	\N
706	Mammoth Storybook	\N
707	Banana Book	\N
708	Yellow Bananas	\N
709	Ralahine Utopian Studies	\N
712	Luitingh SF	\N
713	Ridderhof SF	\N
714	Mills & Boon Nocturne	\N
715	Colour First Reader	\N
716	Heyne Science Fiction & Fantasy	451102
719	Lancer Easy Eye	\N
722	Everyman Classics	\N
723	Lippincott's Select Novels	\N
724	Wonderland Series	\N
725	King Penguin	\N
726	Penguin Children's 60s	\N
727	Penguin Decades	\N
728	The Further Adventures of Sherlock Holmes	\N
729	Red Classics	\N
731	SFem	\N
732	Continuum Contemporaries	\N
733	Enriched Classics	\N
734	Sciences & Fictions à Peyresq	\N
735	Fischer Orbit	\N
736	Historical Dictionaries of Literature and the Arts	\N
737	Scholastic Bookfiles	\N
738	The New Adelphi library	\N
741	Borgo Laureate Series	\N
742	Overlook SF & F Classics	\N
747	Library of Essential Writers	\N
748	Great Issues of the Day	\N
751	Planetbøgerne	\N
752	Phantastische Wirklichkeit: Science Fiction der Welt	\N
753	Malcolm Hulke Studies in Cinema and Television	\N
756	Digital Science Fiction	\N
757	Playboy Science Fiction	\N
758	Colección Nebulae	\N
759	&#26368;&#26032;&#31185;&#23398;&#23567;&#35500;&#20840;&#38598;	512544
760	Ansible E-ditions	\N
762	Prisma	\N
763	Raketti-sarja	\N
765	Lommeromanen	\N
766	Starmont Hardcover Collection	\N
769	Mini Mythos	\N
770	Encyclopédie Planète	\N
771	Biblioteca di Fantascienza	348542
773	Fantasy Classics	\N
774	Fantasy Reader	\N
777	Harvill Paperbacks	\N
779	Young Moderns	\N
780	Sterling Classics	\N
781	Sterling Illustrated Classics	\N
783	Case Studies in Contemporary Criticism	\N
786	Alternatives: Idea-Centered Literature	\N
787	Collected Stories	\N
788	Encrage - Travaux Bis	\N
789	The Isaac Asimov Collection	266854
790	Winston Science Fiction	376932
791	Routledge Film Guidebooks	\N
794	Elsevier Pockets	\N
795	Wired	\N
796	Wired Up	\N
797	Science Fiction Shorts	\N
798	Cinematic History	\N
799	After Dark	\N
800	Abenteuer im Weltenraum	\N
801	Starmont Popular Culture Studies	\N
802	The Unexpurgated Clark Ashton Smith	\N
803	Linford Western Library	\N
804	Gollancz 50	\N
806	Leisure Hour Series	\N
807	Stories Told to the Children	\N
808	Hippo Ghost	\N
809	Florin Books	\N
810	French literature Series	\N
811	Norton Critical Edition	\N
812	Library of World Fiction	\N
813	A Revived Modern Classic / New Directions Paperbook	\N
814	Origins Series	\N
815	Black Classics	\N
816	The Northeastern Library of Black Literature	\N
819	Library Lovecraftian	\N
820	Bantam Classic	\N
821	The Nordic Translation Series	\N
824	Biblioteka Klasyki Science Fiction SREBRNY GLOB	\N
825	Seria z Tukanem	\N
829	Starlog Photo Guidebook	\N
830	Collier Nucleus Fantasy Classic	\N
831	Biblioteka Fantastyki	\N
832	Double Dog	\N
834	The Travellers' Library	\N
837	Sixpenny Series	\N
838	Penny Popular Novels	\N
839	Harlan Ellison Uniform Series	\N
840	Once Upon a Time	\N
841	Presses Pocket - Agora	\N
842	Le Livre de Poche - Jeunesse	\N
843	New Portway Classics of Fantasy and Science Fiction	\N
845	Random House Modern Classics	\N
847	Futorian Science Fiction	\N
848	Rouge Paranormal Romance	\N
849	Phoenix Short Stories	\N
850	Phoenix Giants	\N
851	Stories from the Golden Age	\N
