152	Best Cover Illustration - Paperback	14	\N	\N
153	Best Gaming-Related Illustration	14	\N	\N
154	Best Interior Illustration	14	\N	\N
155	Best Interior Illustrator	14	\N	\N
156	Best Magazine Cover	14	\N	\N
157	Best Monochrome Work - Unpublished	14	\N	\N
158	Best Product Illustration	14	\N	\N
159	Best Three-Dimensional Art	14	\N	\N
160	Best Unpublished Illustration - Color	14	\N	\N
161	Best Unpublished Illustration - Monochrome	14	\N	\N
162	Special Award	14	\N	\N
163	Best Anthology	15	28	\N
164	Best Artist	15	\N	\N
165	Best Collection	15	26	\N
166	Best Fiction Magazine	15	\N	\N
167	Best Non-Fiction Magazine	15	\N	\N
168	Best Novel	15	1	\N
169	Best Short Fiction	15	22	\N
171	Australian SF Foundation - A. Bertram Chandler Award	16	\N	\N
172	Best Amateur Australian Publication (Fanzine)	16	6050	\N
173	Best Artwork	16	1000	\N
174	Best Artwork or Artist	16	1050	\N
175	Best Australasian Fanwriter	16	5200	\N
176	Best Australasian Fanzine	16	6000	\N
177	Best Australian Amateur Science Fiction Publication or Fanzine	16	6150	\N
178	Best Australian Artwork	16	1000	\N
179	Best Australian Collected Work	16	400	\N
180	Best Australian Fan Achievement	16	7000	\N
181	Best Australian Fan Artist	16	5500	\N
182	Best Australian Fan Production - Fanzine	16	6050	\N
183	Best Australian Fan Production - Other	16	6300	\N
184	Best Australian Fan Writer	16	5200	\N
185	Best Australian Fantasy/SF Artist	16	1100	\N
186	Best Australian Fanzine	16	6000	\N
187	Best Australian Long Fiction	16	210	\N
188	Best Australian Magazine or Anthology	16	450	\N
189	Best Australian Novel	16	200	\N
613	Best Novella	58	2	\N
191	Best Australian Production	16	600	\N
192	Best Australian Professional Achievement	16	2000	\N
193	Best Australian Science Fiction or Fantasy	16	100	\N
194	Best Australian Science Fiction or Fantasy Short Fiction	16	350	\N
195	Best Australian SF or Fantasy Artist	16	1100	\N
196	Best Australian SF or Fantasy Artist, Cartoonist or Illustrator	16	1100	\N
197	Best Australian SF or Fantasy Cartoonist	16	1200	\N
198	Best Australian SF or Fantasy Dramatic Presentation	16	700	\N
199	Best Australian SF or Fantasy Editor	16	2300	\N
200	Best Australian Short Fiction	16	350	\N
201	Best Australian Short Science Fiction or Fantasy	16	350	\N
614	Best Novelette	58	3	\N
203	Best Collected Work	16	400	\N
204	Best Contemporary Writer of Science Fiction	16	2200	\N
205	Best Dramatic Presentation	16	700	\N
206	Best Fan Artist	16	5500	\N
207	Best Fan Production	16	6200	\N
208	Best Fan Writer	16	5200	\N
209	Best Fannish Cat	16	\N	\N
210	Best Fanzine	16	\N	\N
211	Best International Long Fiction	16	\N	\N
212	Best International Publication	16	\N	\N
213	Best New Talent	16	9000	\N
214	Best Novel	16	200	\N
215	Best Novella or Novelette	16	300	\N
216	Best Periodical	16	500	\N
217	Best Professional Artwork	16	1000	\N
218	Best SF or Fantasy Artist	16	1100	\N
219	Best Short Australasian Science Fiction or Fantasy	16	350	\N
220	Best Short Fiction	16	350	\N
221	Best Short Story	16	330	\N
222	Special Award	16	9500	\N
223	Special Committee Award	16	9500	\N
224	Distinguished Novel or Collection	17	\N	\N
225	Book-Length Fantasy	18	\N	\N
226	Grandmaster of Fantasy (Gandalf)	18	\N	\N
227	Hal Clement Young Adult Award	19	\N	\N
228	Middle Grades Award	19	\N	\N
229	Picture Book Award, Awarded to Illustrator	19	\N	\N
230	Special Award	19	\N	\N
231	Jack Gaughan Award for Best Emerging Artist	20	\N	\N
232	Contributions to the field of science fiction	21	\N	\N
233	Dramatic Presentation	22	\N	\N
234	Fantasy Novel	22	7	\N
235	First Novel	22	12	\N
236	Horror Novel	22	9	\N
237	Novel	22	2	\N
238	Novelette	22	19	\N
239	Novella	22	15	\N
240	SF Novel	22	4	\N
241	Short Story	22	24	\N
242	Best All-Time Series	23	\N	\N
243	Best Amateur Magazine	23	\N	\N
244	Best American Professional Magazine	23	\N	\N
245	Best British Professional Magazine	23	\N	\N
246	Best Cover Artist	23	\N	\N
247	Best Dramatic Presentation	23	\N	\N
248	Best Dramatic Presentation, Long Form	23	\N	\N
249	Best Dramatic Presentation, Short Form	23	\N	\N
250	Best Dramatic Production	23	\N	\N
251	Best Editor Long Form	23	\N	\N
252	Best Editor Short Form	23	\N	\N
253	Best Fan Artist	23	\N	\N
254	Best Fan Writer	23	\N	\N
255	Best Fancast	23	\N	\N
256	Best Fanzine	23	\N	\N
257	Best Graphic Story	23	\N	\N
258	Best Interior Illustrator	23	\N	\N
259	Best New Author	23	\N	\N
260	Best Non-Fiction Book	23	\N	\N
261	Best Novel	23	1	\N
262	Best Novelette	23	20	\N
263	Best Novella	23	16	\N
264	Best Original Artwork	23	\N	\N
265	Best Professional Artist	23	\N	\N
266	Best Professional Editor	23	\N	\N
267	Best Professional Magazine	23	\N	\N
268	Best Publisher	23	\N	\N
269	Best Related Book	23	\N	\N
270	Best Related Work	23	\N	\N
271	Best Science Fiction Book Publisher	23	\N	\N
272	Best Semiprozine	23	\N	\N
273	Best Short Fiction	23	22	\N
274	Best Short Story	23	25	\N
275	Best Web Site	23	\N	\N
276	Other Forms	23	\N	\N
278	Special Awards	23	\N	\N
279	Fiction	24	\N	\N
280	Non-Fiction	24	\N	\N
281	Essai	25	\N	\N
282	Grand Prix domaine étranger	25	\N	\N
283	Grand Prix domaine français	25	\N	\N
284	Grand Prix Europeen d l'Imaginaire	25	\N	\N
285	Graphic Work	25	\N	\N
286	Jeunesse	25	\N	\N
287	Nouvelle étrangère	25	\N	\N
288	Nouvelle française	25	\N	\N
289	Prix Spécial	25	\N	\N
290	Roman étranger	25	\N	\N
291	Roman français	25	\N	\N
292	Roman francophone	25	\N	\N
294	Traduction	25	\N	\N
295	Best Anthology	26	28	\N
296	Best Artist	26	\N	\N
297	Best Collection	26	26	\N
298	Best Film	26	\N	\N
299	Best First Novel	26	11	\N
300	Best Graphic Narrative	26	\N	\N
301	Best Graphic Novel	26	\N	\N
302	Best Graphic Story	26	\N	\N
303	Best Illustrated Narrative	26	\N	\N
304	Best Intermediate Form	26	\N	\N
305	Best Long Form	26	\N	\N
306	Best Non-Fiction	26	30	\N
307	Best Novel	26	1	\N
308	Best Periodical	26	\N	\N
309	Best Publication	26	\N	\N
310	Best Short Form	26	\N	\N
311	Best Short Story	26	25	\N
312	Best TV	26	\N	\N
313	Living Legend Award	26	\N	\N
314	Special Award	26	\N	\N
315	Best New Writer	27	\N	\N
316	All-Time Best Author	28	\N	\N
317	All-Time Best Fantasy Author	28	\N	\N
318	All-Time Best Fantasy Novel	28	\N	\N
319	All-Time Best Fantasy Novel before 1990	28	\N	\N
320	All-Time Best Fantasy Novelist	28	\N	\N
321	All-Time Best Novel	28	\N	\N
322	All-Time Best Novelist (combined)	28	\N	\N
323	All-Time Best SF Novel	28	\N	\N
324	All-Time Best SF Novel before 1990	28	\N	\N
325	All-Time Best SF Novelist	28	\N	\N
326	All-Time Favorite Author	28	\N	\N
328	Best 80's Author	28	\N	\N
329	Best Anthology	28	28	\N
330	Best Anthology/Collection (old)	28	\N	\N
331	Best Art Book	28	32	\N
332	Best Art or Illustrated Book	28	\N	\N
333	Best Artist	28	\N	\N
334	Best Associational Item	28	\N	\N
335	Best Author Collection	28	\N	\N
336	Best Book Publisher	28	\N	\N
337	Best Book Publisher/Imprint	28	\N	\N
338	Best Collection	28	26	\N
339	Best Convention (old)	28	\N	\N
340	Best Critic (old)	28	\N	\N
341	Best Dark Fantasy/Horror Novel	28	\N	\N
342	Best Editor	28	33	\N
343	Best Fan Artist (old)	28	\N	\N
344	Best Fan Cartoonist (old)	28	\N	\N
345	Best Fan Critic (old)	28	\N	\N
346	Best Fan Writer (old)	28	\N	\N
347	Best Fantasy Novel	28	6	\N
348	Best Fanzine (old)	28	\N	\N
349	Best First Novel	28	11	\N
350	Best Horror Novel	28	8	\N
351	Best Horror/Dark Fantasy Novel	28	10	\N
352	Best Magazine	28	\N	\N
353	Best Magazine Artist (old)	28	\N	\N
354	Best Magazine or Fanzine	28	\N	\N
355	Best Magazine/Anthology Series	28	\N	\N
356	Best Magazine/Fanzine	28	\N	\N
357	Best Non-Fiction	28	30	\N
358	Best Non-Fiction/Art	28	\N	\N
359	Best Non-Fiction/Reference	28	\N	\N
360	Best Novelette	28	20	\N
361	Best Novella	28	16	\N
362	Best Original Anthology (old)	28	\N	\N
363	Best Paperback Artist (old)	28	\N	\N
364	Best Paperback Cover Artist (old)	28	\N	\N
365	Best PB Cover Illustrator (old)	28	\N	\N
366	Best Professional Artist	28	\N	\N
367	Best Publisher	28	\N	\N
368	Best Publisher - hardcover	28	\N	\N
