1	4093	1
2	13892	1
3	23008	9
4	12511	10
5	22941	10
6	7940	11
7	12913	11
8	3354	11
9	7943	12
10	12939	12
11	3392	12
12	5313	12
13	23730	16
14	23723	18
15	23017	22
28052	41480	939942
17	6054	28
18	13852	28
19	8633	118
20	13886	134
21	23259	227
22	22890	233
23	14070	233
24	6012	234
25	14074	234
26	25664	234
27	8221	236
28	12954	237
29	21562	242
30	14069	242
31	12928	244
32	7902	245
33	12865	245
34	6002	246
35	7921	246
36	12898	246
37	22884	250
38	21598	251
39	7920	255
40	12903	255
41	13529	259
42	4142	265
43	6010	265
44	7923	265
45	4598	265
46	5311	265
47	12912	265
48	25647	265
49	12911	266
50	21597	273
51	23116	274
52	25645	277
53	14061	278
54	13538	279
55	21031	279
56	26005	279
57	13773	280
58	23742	280
59	3302	280
60	3351	280
61	14063	281
62	4136	284
63	13496	284
64	23099	285
65	23989	285
66	4135	289
67	4596	289
68	5993	289
69	7918	289
70	12896	289
71	12908	291
72	3345	299
73	5991	306
74	12900	306
75	3296	306
76	24016	308
77	11350	308
78	13787	308
79	25997	308
80	13497	309
81	12937	314
82	3341	319
83	4130	320
84	5958	320
85	7873	320
86	25560	320
87	21075	321
88	12932	322
89	23106	323
90	13494	324
91	21539	324
92	25991	324
93	13512	325
94	3338	325
95	13534	326
96	3377	326
97	5984	332
98	2055	334
99	2062	334
100	25995	334
101	3337	334
102	23105	335
103	7938	335
104	21586	335
105	23762	335
106	7343	335
107	21554	336
108	6027	336
109	25636	336
110	13503	337
111	23738	337
112	13519	338
113	13504	340
114	3281	340
115	5981	356
116	23741	356
117	3333	358
118	1735	362
119	21552	362
120	6246	362
121	3332	362
122	3272	364
123	12918	369
124	13776	371
125	7396	374
126	7915	374
127	21551	374
128	12915	374
129	13775	379
130	21019	379
131	25989	379
132	7934	380
133	12931	380
134	21549	381
135	22880	381
136	3264	381
137	5973	382
138	7914	382
139	12895	382
140	21548	382
28020	41452	7526
28019	41451	24282
28014	23755	383
144	7932	386
145	13518	386
146	21023	386
