495	Narnia	32591	\N
497	Hardwired	\N	\N
498	Kedrigern	11828	\N
500	Valentine	\N	\N
503	Majipoor	\N	\N
504	Culture	\N	\N
505	Book of The New Sun	11836	\N
506	Uplift	307	\N
507	Greenwich Village	\N	\N
509	Black Dragon	\N	\N
511	The Defenders of the Earth	\N	\N
513	Ealdwood	\N	\N
514	The Real Adventures of Jonny Quest	\N	\N
515	Bromeliad	\N	\N
518	Riverworld	\N	\N
519	Memory, Sorrow & Thorn	\N	\N
520	Francis Sandow	\N	\N
521	Gormenghast	\N	\N
529	Bossy	\N	\N
532	Psi-Power	\N	\N
533	Cosmic Trilogy	\N	\N
534	Terraplane	\N	\N
536	Saint-Germain	\N	\N
537	Count of Saint-Germain	536	\N
539	Prydain	\N	\N
540	The Prydain Chronicles	539	\N
544	The Hub Universe	\N	\N
545	The Hub	544	\N
547	Childe Cycle	\N	\N
548	Ted Quantrill	\N	\N
551	Mars	36885	\N
552	Mars [2]	551	\N
555	Ragnarok	\N	\N
557	Heritage Universe	\N	\N
560	Fionavar Tapestry	\N	\N
562	The Starbridge Chronicles	\N	\N
563	Master Li	\N	\N
564	Balumnia	\N	\N
567	Eight Worlds	\N	\N
570	Trantorian Empire	11826	\N
572	Hulzein	18181	\N
573	Mesklin	\N	\N
574	Star Kings	\N	\N
576	The Stainless Steel Rat	\N	\N
580	Apprentice Adept	\N	\N
581	Xanth	\N	\N
584	Malloreon	11482	\N
586	The True Game Universe	37332	\N
587	Mavin Manyshaped	586	\N
590	Latro	\N	\N
595	Sweet Valley University Thriller Edition	224	\N
596	Integral Trees	452	\N
598	Skylark of Space	\N	\N
602	Lensman Universe	\N	\N
603	Lensman	602	\N
609	Vortex Blaster	602	\N
613	Silverlock	\N	\N
615	Silence Leigh	\N	\N
616	Chronicles of Amber (Corwin)	379	\N
618	Proteus	\N	\N
621	Marjorie Westriding	\N	\N
622	Big Planet	\N	\N
624	Durdane	\N	\N
628	Cordelia Vorkosigan	241	\N
631	Wheel of Time	\N	\N
633	Kelewan Empire	228	\N
635	Unionside	267	\N
636	Songs of Earth and Power	\N	\N
637	Shaper/Mechanist	\N	\N
638	Hap Collins and Leonard Pine	\N	\N
641	Santiago	21389	\N
642	Deryni Universe	\N	\N
643	Legends of Saint Camber	642	\N
644	The Elric Saga	\N	\N
646	King of Ys	\N	\N
647	The Positronic Robot Stories	11826	\N
649	The White Bird of Kinship	\N	\N
650	Riverrun	\N	\N
653	Tales of Known Space	\N	\N
654	Ringworld	653	\N
657	The Quest of the Riddle-Master	\N	\N
661	Marathon	\N	\N
664	Rama	21593	\N
665	Reindeer People	\N	\N
668	House of Kendreth	\N	\N
672	Damiano	\N	\N
677	Sun Cross	\N	\N
678	Holy Ground Trilogy	\N	371860
679	The Ragged Astronauts / Land and Overland	\N	\N
681	The Histories of King Kelson	642	\N
683	Queen of Angels	29788	\N
684	Known Space	653	\N
685	Mabinogi	\N	\N
687	Chanur	267	\N
689	Foundation	11826	\N
691	Petaybee	11853	\N
693	Aton/Piers Anthony's Worlds of Chthon	\N	\N
695	Khaavren Romances	8	\N
696	Blood Opera	\N	\N
698	Technic History	\N	\N
699	Nicholas Van Rijn	698	\N
700	The Talents Universe	\N	\N
701	Talents	700	\N
703	Realtime	\N	\N
704	Belgariad	11482	\N
709	Heaven Chronicles	\N	\N
711	Book of the Beast	\N	\N
713	Orbitsville	\N	\N
714	The Century Next Door	\N	\N
720	Saga of the Pliocene Exile	194	\N
722	Nifft	\N	\N
724	New York	\N	\N
725	Neveryon	\N	\N
726	Neuromancer	\N	\N
728	Needle	\N	\N
730	Native Tongue	\N	\N
732	Mythago Wood	\N	\N
735	CoDominium Universe	\N	\N
736	Moties	735	\N
740	Ottawa and the Valley	\N	\N
742	Avalon	\N	\N
744	Mordant's Need	\N	\N
747	Mindkiller	\N	\N
750	A Million Open Doors	\N	\N
751	Kinsman	\N	\N
752	Mightiest Machine	\N	\N
755	Merlin's Godson	\N	\N
757	Homecoming (Orson Scott Card)	\N	\N
758	The Journeys of McGill Feighan	\N	\N
764	Marianne	\N	\N
769	The World of Tiers	\N	\N
770	Beklan Empire	\N	\N
775	Magic Kingdom of Landover	\N	\N
776	Wizard World	\N	\N
777	Lyonesse	\N	\N
780	The Lord of the Rings	13661	\N
785	Langdon St. Ives	33379	\N
786	The Great Wheel of Existence	\N	\N
787	Human/Praxcelis Union	786	\N
788	Tales of the Continuing Time	786	\N
791	Dirk Gently	\N	\N
794	The Four Lords of the Diamond	\N	\N
797	Paratwa Saga	\N	\N
798	Legion of Space	\N	\N
799	Heorot	\N	\N
802	Oxrun Universe	\N	\N
803	Oxrun	802	\N
806	Caspak	\N	\N
809	Down the Long Wind	\N	\N
814	CoDominion	735	\N
815	Sabella	\N	\N
817	The Adversary Cycle	25642	\N
819	Wirrun	32990	\N
820	Jinian	586	\N
822	Jaran	\N	\N
824	Janissaries	\N	\N
827	Arcot, Morey and Wade	\N	\N
829	Intervention	194	\N
831	Minervan Experiment	\N	390967
836	Sonja Blue	\N	\N
839	Xenogenesis	\N	\N
840	Exorcism Trilogy	\N	\N
843	Illuminatus	\N	\N
844	Illuminati	843	\N
847	Changeling	\N	\N
850	Hanan Rebellion	267	\N
851	Humanoids	\N	\N
857	The Hound and the Falcon	\N	\N
865	Hiero Desteen	24954	\N
869	Dune	11825	\N
870	Helliconia	\N	\N
875	Heechee	\N	\N
883	Hive	\N	\N
899	Dr. Adder	\N	\N
900	Matter, Space and Time	\N	\N
901	Matter	900	\N
906	Keeps	\N	\N
908	Four Hundred Billion Stars	\N	\N
913	Forge of God	\N	\N
914	Forever War	\N	\N
923	Sime/Gen	\N	\N
927	Arhel / Fire in the Mist	\N	\N
928	Jerry Cornelius	\N	\N
929	Quaddies	241	\N
930	Pelbar Cycle	\N	\N
932	Mri Wars	267	\N
940	Eon	35469	\N
945	Trigon Disunity	\N	\N
949	Chronicles of the King's Tramp	\N	\N
952	The End of Time	\N	\N
965	Duncton Wood	\N	\N
966	Drive-In	\N	\N
968	Batman Universe	33519	\N
969	Batman	968	\N
970	Jack the Giant-Killer	740	\N
971	The Faustus Hexagram	\N	\N
973	Kerrion Empire	\N	\N
981	Eternal Champion	\N	\N
983	Dragon Trilogies	\N	\N
984	Dragon Star	983	\N
988	Sparhawk Universe	\N	\N
989	The Tamuli	988	\N
992	The Windrose Chronicles	\N	\N
993	After Such Knowledge	\N	\N
996	Chronicles of The Deryni	642	\N
1001	Deathworld	\N	462066
1004	Barbara Holloway	\N	\N
1005	Enchanted Forest	\N	\N
1006	Dayworld	\N	\N
1011	Through Darkest America	\N	\N
1012	Batman Young Readers Series	968	\N
1013	Tales of a Darkening World	\N	\N
1015	Rifkind	\N	\N
1022	Chronicles of the Kencyrath	\N	\N
1023	The Dark Tower	\N	\N
1028	Kane	\N	\N
1035	Crystal Singer	12063	\N
1037	Time	900	\N
1048	Code of the Lifemaker	\N	\N
1050	Sector General	\N	\N
1056	Twin Planets	\N	\N
1059	Pandora	\N	\N
1063	Jorj McKie	\N	\N
1079	Saint Leibowitz	\N	\N
1088	Sorcery Hall	\N	\N
1089	Peter Slater	\N	\N
1090	Neverness Universe	\N	\N
1091	A Requiem for Homo Sapiens	1090	\N
1099	Blood Hunt	\N	\N
1101	Victory Nelson, Investigator	12013	\N
1105	Blind Spot	\N	\N
1107	Margaret of Urbs	\N	\N
1111	Bill, the Galactic Hero	\N	\N
1114	Becoming Alien Trilogy	\N	\N
1115	Sleepless	\N	\N
1121	Pendragon Cycle	\N	\N
1122	Buck Rogers Universe	\N	\N
1123	Buck Rogers	1122	\N
1128	Merovingen Nights	267	\N
1130	Dread Empire	\N	\N
1131	The Alchemists	\N	\N
1133	Might and Magic	\N	\N
1135	Batman, the Animated Series	968	\N
1138	Batman, the Animated Movie	968	\N
1146	A Space Odyssey	\N	\N
1154	Witch World Universe	\N	\N
1155	Estcarp	1154	\N
1160	Pax / Astra	\N	\N
1162	Blake Walker / Crosstime	\N	\N
1164	Solar Queen	\N	\N
1169	Forerunner	\N	\N
1174	Janus	\N	\N
1177	Witch World Stories	1154	\N
1184	Ross Murdock / Time Traders	\N	\N
1189	Hosteen Storm / Beast Master	\N	\N
1191	Myth Adventures	\N	\N
1194	Phule's Company	\N	\N
1204	Duncan and Mallory	\N	\N
1207	Sten	\N	\N
1216	The Book of the North	237	\N
1219	The Book of the South	237	\N
1222	Darkwar	\N	\N
1231	Garrett, P. I.	\N	\N
1239	Starfishers Universe	\N	\N
1240	Starfishers	1239	\N
1241	Starfishers Trilogy	1239	\N
1244	Elfen Gold	\N	\N
1245	Ecolitan Envoy	\N	\N
1249	Forever Hero	\N	\N
1251	The Saga of Recluce	\N	\N
1255	Timedivers	\N	\N
1257	Anthony Villiers	\N	\N
1265	Matador	\N	\N
1273	Stellar Ranger	\N	\N
1275	Venture Silk	\N	\N
1277	Aliens Universe	\N	\N
1278	Aliens	1277	\N
1283	Aliens Versus Predator	1277	\N
1285	Legends of Ethshar	\N	\N
1291	The Lords of Dus	\N	\N
1295	Three Worlds / World of Shadow	\N	\N
1297	War Surplus	\N	\N
1299	Time Machine	\N	\N
1301	Atilus	\N	\N
1304	Dumarest	\N	\N
1335	Cap Kennedy	\N	\N
1352	Space 1999	\N	\N
1357	Alien Nation	\N	\N
1358	Chronicles of Galen Sword	\N	\N
1366	Warchild	\N	\N
1372	Iron Angel	\N	\N
1373	Del Whitby	\N	\N
1382	Nidorian	\N	\N
1384	Gate Of Ivory	\N	\N
