4093	1
13892	1
23008	9
12511	10
22941	10
7940	11
12913	11
3354	11
7943	12
12939	12
3392	12
5313	12
23730	16
23723	18
23017	22
41480	939942
6054	28
13852	28
8633	118
13886	134
23259	227
22890	233
14070	233
6012	234
14074	234
25664	234
8221	236
12954	237
21562	242
14069	242
12928	244
7902	245
12865	245
6002	246
7921	246
12898	246
22884	250
21598	251
7920	255
12903	255
13529	259
4142	265
6010	265
7923	265
4598	265
5311	265
12912	265
25647	265
12911	266
21597	273
23116	274
25645	277
14061	278
13538	279
21031	279
26005	279
13773	280
23742	280
3302	280
3351	280
14063	281
4136	284
13496	284
23099	285
23989	285
4135	289
4596	289
5993	289
7918	289
12896	289
12908	291
3345	299
5991	306
12900	306
3296	306
24016	308
11350	308
13787	308
25997	308
13497	309
12937	314
3341	319
4130	320
5958	320
7873	320
25560	320
21075	321
12932	322
23106	323
13494	324
21539	324
25991	324
13512	325
3338	325
13534	326
3377	326
5984	332
2055	334
2062	334
25995	334
3337	334
23105	335
7938	335
21586	335
23762	335
7343	335
21554	336
6027	336
25636	336
13503	337
23738	337
13519	338
13504	340
3281	340
5981	356
23741	356
3333	358
1735	362
21552	362
6246	362
3332	362
3272	364
12918	369
13776	371
7396	374
7915	374
21551	374
12915	374
13775	379
21019	379
25989	379
7934	380
12931	380
21549	381
22880	381
3264	381
5973	382
7914	382
12895	382
21548	382
41452	7526
41451	24282
23755	383
7932	386
13518	386
21023	386
21574	386
25624	390
21545	394
13771	397
3260	399
13528	400
7919	407
13770	407
21541	407
25993	407
23974	408
6008	411
7933	411
12922	411
23743	411
3255	413
4132	413
4594	413
5965	413
7908	413
12894	413
22886	413
5308	413
7397	418
7917	418
12892	418
3267	418
12558	428
22957	428
23413	428
23419	428
23423	428
23428	428
16485	429
22962	430
12839	432
3213	433
11804	435
7386	461
7909	467
12891	467
21550	467
3327	467
7916	471
13489	471
13777	480
23990	480
3217	481
13148	491
41482	23394
20209	541
20262	541
20309	541
14056	543
14055	544
5982	545
7867	545
14054	545
7882	546
14053	546
21530	546
14052	547
6098	548
14051	548
14050	549
14049	550
14047	551
14046	552
7869	554
14045	554
14043	555
7870	556
14041	556
21526	556
4152	556
6225	558
7803	561
23067	561
7806	562
21507	578
7388	579
21480	579
7384	584
7822	584
21479	584
13826	596
22966	598
13455	606
25981	606
25978	607
6004	611
7922	611
12897	611
21518	611
23084	612
7843	614
12853	614
