105	Symphony in a Minor Key	1996-00-00	An	1	13	\N
106	Fugue on a Sunken Continent	1996-00-00	An	1	13	\N
107	A Pillar of Stars By Night	1996-00-00	An	1	13	\N
108	Starsong	1997-00-00	An	1	13	\N
109	Loose Ends	1997-00-00	An	1	13	\N
110	Billy's Bunter	1997-00-00	An	1	13	\N
111	The Flowers That Bloom in the Spring	1997-00-00	An	1	13	\N
112	Aurora in Four Voices	1998-00-00	An	1	13	\N
113	The Ice Dragon's Song	1998-00-00	An	1	13	\N
114	Wrench and Claw	1998-00-00	An	1	13	\N
115	Tourist Sam	1998-00-00	An	1	13	\N
116	Ashes to Ashes	1998-00-00	An	1	13	\N
117	The Astronaut from Wyoming	1999-00-00	An	1	13	\N
118	Twenty-One, Counting Up	1999-00-00	An	1	13	\N
119	Reality Check	1999-00-00	An	1	13	\N
120	Elephants' Graveyard	1999-00-00	An	1	13	\N
121	The Trees of Verità	1999-00-00	An	1	13	\N
122	A Roll of the Dice	2000-00-00	An	1	13	\N
123	The Retrieval Artist	2000-00-00	An	1	13	\N
124	Death on Venus	2000-00-00	An	1	13	\N
125	The Ultimate Earth	2000-00-00	An	1	13	\N
126	Identity Crisis	2000-00-00	An	1	13	\N
127	Sunday Night Yams at Minnie and Earl's	2001-00-00	An	1	13	\N
128	The King Who Wasn't	2001-00-00	An	1	13	\N
129	Bug Out!	2001-00-00	An	1	13	\N
130	Pele	2001-00-00	An	1	13	\N
131	May Be Some Time	2001-00-00	An	1	13	\N
132	In Spirit	2002-00-00	An	1	13	\N
133	Sidehunter	2002-00-00	An	1	13	\N
134	Unseen Demons	2002-00-00	An	1	13	\N
135	Presence of Mind	2002-00-00	An	1	13	\N
136	Tiptoe, On a Fence Post	2002-00-00	An	1	13	\N
137	A Portrait of My Grandfather	1995-00-00	An	1	12	\N
138	Capra's Keyhole	1995-00-00	An	1	12	\N
139	Unfinished Symphony	1995-00-00	An	1	12	\N
140	Down Under Crater Billy	1995-00-00	An	1	12	\N
141	The Good Rat	1995-00-00	An	1	12	\N
142	The Three Labors of Bubba	1996-00-00	An	1	12	\N
143	Amateurs	1996-00-00	An	1	12	\N
144	Gerry Boomers	1996-00-00	An	1	12	\N
145	Martian Valkyrie	1996-00-00	An	1	12	\N
146	Alexandrian Librarians	1996-00-00	An	1	12	\N
147	Trial by Ordeal	1997-00-00	An	1	12	\N
148	Ask Arlen	1997-00-00	An	1	12	\N
149	Easter Egg Hunt: A Christmas Story	1997-00-00	An	1	12	\N
150	Gideon	1997-00-00	An	1	12	\N
151	Variations in Dreampaint	1997-00-00	An	1	12	\N
152	Zwarte Piet's Tale	1998-00-00	An	1	12	\N
153	Olympus Mons!	1998-00-00	An	1	12	\N
154	Trade Warriors	1998-00-00	An	1	12	\N
155	The Question	1998-00-00	An	1	12	\N
156	A Life on Mars	1998-00-00	An	1	12	\N
157	The Giftie	1999-00-00	An	1	12	\N
158	As Time Goes By	1999-00-00	An	1	12	\N
160	Vultures	1999-00-00	An	1	12	\N
161	McAndrew and the Fifth Commandment	1999-00-00	An	1	12	\N
162	Stones of Significance	2000-00-00	An	1	12	\N
163	The Taranth Stone	2000-00-00	An	1	12	\N
164	The Quantum Teleporter	2000-00-00	An	1	12	\N
165	Debunking the Faith Healer	2000-00-00	An	1	12	\N
166	His Hands Passed Like Clouds	2000-00-00	An	1	12	\N
167	Tower of Wings	2001-00-00	An	1	12	\N
168	The Upgrade	2001-00-00	An	1	12	\N
169	First Contact National Monument	2001-00-00	An	1	12	\N
170	The Rise and Fall of Paco Cohen and the Mariachis of Mars	2001-00-00	An	1	12	\N
171	The Return of Spring	2001-00-00	An	1	12	\N
172	Look Away	2002-00-00	An	1	12	\N
173	Mammoth Dawn	2002-00-00	An	1	12	\N
174	Truck Stop	2002-00-00	An	1	12	\N
175	Slow Life	2002-00-00	An	1	12	\N
176	The Great Prayer Wheel	2002-00-00	An	1	12	\N
177	Can These Bones Live?	1979-00-00	An	1	8	\N
178	Breaking the Game	1979-00-00	An	1	8	\N
179	In Adam's Fall	1979-00-00	An	1	8	\N
180	Old Friends	1979-00-00	An	1	8	\N
181	...And Master of One	1979-00-00	An	1	8	\N
182	Grotto of the Dancing Deer	1980-00-00	An	1	8	\N
183	The Touch of Their Eyes	1980-00-00	An	1	8	\N
184	The Bully and the Crazy Boy	1980-00-00	An	1	8	\N
185	Meeting of Minds	1980-00-00	An	1	8	\N
186	Scrooge in Space	1980-00-00	An	1	8	\N
187	Green Winter	1981-00-00	An	1	8	\N
188	Absent Thee from Felicity Awhile...	1981-00-00	An	1	8	\N
189	Collector's Item	1981-00-00	An	1	8	\N
190	The Pacifists	1981-00-00	An	1	8	\N
191	Misfits	1981-00-00	An	1	8	\N
192	Melancholy Elephants	1982-00-00	An	1	8	\N
193	The Garden of the Cognoscenti	1982-00-00	An	1	8	\N
194	Walk with Me	1982-00-00	An	1	8	\N
195	Schrödinger's Plague	1982-00-00	An	1	8	\N
196	Who Will Guard the Guardians?	1982-00-00	An	1	8	\N
197	Deborah's Children	1983-00-00	An	1	8	\N
198	The Reluctant Torturer	1983-00-00	An	1	8	\N
199	We, the People	1983-00-00	An	1	8	\N
200	The Geometry of Narrative	1983-00-00	An	1	8	\N
201	Sandcastles	1983-00-00	An	1	8	\N
202	The Crystal Spheres	1984-00-00	An	1	8	\N
203	A Thrrup for Teacher	1984-00-00	An	1	8	\N
204	Symphony for a Lost Traveler	1984-00-00	An	1	8	\N
205	Winter Snow	1984-00-00	An	1	8	\N
206	Teamwork	1984-00-00	An	1	8	\N
207	Low Midnight	1984-00-00	An	1	8	\N
208	Slan Libh	1984-00-00	An	1	8	\N
209	Rory	1984-00-00	An	1	8	\N
210	A Touch Beyond	1985-00-00	An	1	8	\N
211	Gertrude	1985-00-00	An	1	8	\N
212	Cycles	1985-00-00	An	1	8	\N
213	The R Strain	1985-00-00	An	1	8	\N
214	The Man of Peace	1985-00-00	An	1	8	\N
215	Phreak Encounter	1986-00-00	An	1	8	\N
216	Godkiller	1986-00-00	An	1	8	\N
