279	Collier / Macmillan	\N
282	Crown Publishers	\N
285	Arkham House	246744
286	Advent: Publishers	\N
287	Cheap Street	139587
289	Kinnell	\N
291	Crossway Books	203008
293	Hamlyn	\N
295	Voyager	145457
296	Scribner	155395
297	Anchor UK	\N
298	Picador	202119
299	Quartet Books	\N
300	Julia MacRae	\N
302	Penguin Books Australia	\N
304	Avon Eos	309495
306	Borgo Press	134984
307	Serpent's Tail	\N
308	X Libris	140688
310	Viking Canada	\N
315	Macdonald	145630
317	Mandarin	\N
318	Franklin Watts	145162
320	Titan Books	\N
323	Aladdin Paperbacks / Simon & Schuster	\N
326	Critic's Choice	278889
328	Gold Books	\N
332	Teens / Methuen	\N
333	Bullseye Books / Alfred A. Knopf	\N
334	Greenwillow Books / HarperCollins	145941
335	Dodd, Mead	305481
336	Dorset Press	\N
337	Philomel Books	146401
340	Firecrest	\N
342	Subterranean Press	152622
343	Digit Books	\N
344	Kingfisher	318787
348	Transylvania Press	\N
349	University of New Mexico Press	\N
350	Citadel Press	139728
353	Sprint	\N
356	Funk & Wagnalls	\N
357	New Directions	\N
358	Diamond Books	\N
359	Sherbourne Press	139337
360	Bantam Books (UK)	198261
361	Marshall-Pickering	\N
362	London	\N
363	William Morrow / HarperCollins	\N
364	Hippo / Scholastic UK	\N
365	Atheneum / Macmillan	262760
366	Pont Books	429403
367	Parnassus Press	\N
369	Jane Yolen Books / Harcourt Brace	205692
370	Beacon	\N
372	Amador	\N
373	Robert Hale	\N
376	Holt, Rinehart and Winston	\N
377	Farrar, Straus	140029
379	Dell Yearling Newbery	\N
380	PS Publishing	\N
382	III Publishing	\N
383	Silver Age Books	138444
386	Thomas Nelson	\N
387	Unwin Hyman	\N
390	Arrow Books	\N
393	Maclay & Associates	\N
394	Thomas Y. Crowell	135713
398	Dial Books	\N
400	Fawcett Popular Library	\N
402	University of Illinois Press	\N
404	TSR	\N
406	Blackie	488537
407	Galaxy Publishing Corp.	\N
408	Gnome Press	\N
409	Johannesen	\N
410	Lerner SF Library	247377
411	Grayson & Grayson	198876
412	Dan River Press	142662
413	Nexus	\N
414	Pennant Books	230005
