1	37795	671957
3	26689	852180
4	1030	495131
5	2803	495091
6	5483	495101
7	1807	495081
8	1688	854618
9	38460	854619
10	5140	854620
11	646197	854609
12	1903	854616
13	4388	854617
14	850773	209161
15	671017	854728
16	34291	854729
17	714725	864208
18	839424	196939
20	385761	854608
21	223901	854615
22	38565	709725
23	835731	849709
24	831388	196938
26	3614	854730
28	1235	709721
30	1737	709697
31	11926	603305
32	29286	515853
33	5542	709713
34	211411	854610
36	1360	709701
37	12785	709705
39	851755	709733
40	3045	566457
41	8253	709709
43	12164	427341
44	25761	616413
45	5543	515881
46	158236	196937
47	1068	444221
48	1580	566545
49	22971	423771
50	16559	423781
51	535949	852004
52	831395	423801
53	20330	850234
54	20692	850235
55	38141	843743
56	23362	851197
57	831398	563709
60	1744	855599
61	13593	444181
62	34962	851561
63	2497	850109
64	5941	851563
65	23322	850808
66	5207	426911
67	34678	426891
69	853521	123445
70	16847	123448
71	846413	123450
73	18121	123458
74	9182	123459
75	833084	753669
76	888	403591
77	28348	324721
78	1419	515837
79	3311	751181
80	15568	515877
81	1625	426871
82	136590	427521
83	25781	427551
84	826328	740209
85	1224	546649
86	35045	851233
87	34127	851571
89	157248	513121
90	34219	825591
91	3295	630437
92	155478	854694
93	858488	854680
94	168818	854692
95	4150	713109
96	654781	851238
97	1325	851237
98	177551	854688
99	858097	854677
100	830256	766533
102	709097	631129
103	4037	631125
104	6949	854675
105	830480	766857
106	14999	631133
107	19724	854668
108	189372	854669
109	22270	854670
110	32365	854671
111	169307	854689
112	37632	766521
113	187244	639357
114	839403	427031
115	840665	854679
116	187178	616513
117	803513	195551
118	803521	158292
119	649001	158291
120	29015	158290
121	9692	158289
122	792	158288
123	2410	158287
124	1638	158285
125	25492	158284
126	7135	158283
127	33927	158282
129	33926	158280
130	102736	158279
131	7330	158293
132	4542	158294
133	7222	158295
134	2034	158296
135	2419	158297
136	103255	158298
137	841	158299
138	9644	158300
139	33928	158301
140	1842	158303
141	7517	158304
142	1466	158305
143	15259	158307
144	17920	158308
145	8381	158309
146	37733	158310
147	1709	158311
148	11998	158312
